MITF_MA0620.2	MITF
MXI1_MA1108.1	MXI1
MYC_MA0147.3	MYC
MYB_MA0100.3	MYB
MYCN_MA0104.4	MYCN
NEUROD1_MA1109.1	NEUROD1
NFIC_MA0161.2	NFIC
NFYA_MA0060.3	NFYA
NR1H4_MA1110.1	NR1H4
NR2F2_MA1111.1	NR2F2
NR4A1_MA1112.1	NR4A1
PAX5_MA0014.3	PAX5
PBX2_MA1113.1	PBX2
PBX3_MA1114.1	PBX3
POU5F1_MA1115.1	POU5F1
PRDM1_MA0508.2	PRDM1
RBPJ_MA1116.1	RBPJ
RELB_MA1117.1	RELB
SIX1_MA1118.1	SIX1
SIX2_MA1119.1	SIX2
SOX10_MA0442.2	SOX10
SOX13_MA1120.1	SOX13
TEAD2_MA1121.1	TEAD2
TFDP1_MA1122.1	TFDP1
TWIST1_MA1123.1	TWIST1
USF2_MA0526.2	USF2
ZBTB7A_MA0750.2	ZBTB7A
ZEB1_MA0103.3	ZEB1
ZNF24_MA1124.1	ZNF24
ZNF384_MA1125.1	ZNF384
ZNF282_MA1154.1	ZNF282
ZSCAN4_MA1155.1	ZSCAN4
GATA3_MA0037.3	GATA3
FOS::JUN_MA0099.3	FOS::JUN
FOS::JUN(var.2)_MA1126.1	FOS::JUN(var.2)
FOSB::JUN_MA1127.1	FOSB::JUN
FOSL1::JUN_MA1128.1	FOSL1::JUN
FOSL1::JUN(var.2)_MA1129.1	FOSL1::JUN(var.2)
FOSL2::JUN_MA1130.1	FOSL2::JUN
FOSL2::JUN(var.2)_MA1131.1	FOSL2::JUN(var.2)
JUN::JUNB_MA1132.1	JUN::JUNB
JUN::JUNB(var.2)_MA1133.1	JUN::JUNB(var.2)
FOS::JUNB_MA1134.1	FOS::JUNB
FOSB::JUNB_MA1135.1	FOSB::JUNB
FOSB::JUNB(var.2)_MA1136.1	FOSB::JUNB(var.2)
FOSL1::JUNB_MA1137.1	FOSL1::JUNB
FOSL2::JUNB_MA1138.1	FOSL2::JUNB
FOSL2::JUNB(var.2)_MA1139.1	FOSL2::JUNB(var.2)
JUNB(var.2)_MA1140.1	JUNB(var.2)
FOS::JUND_MA1141.1	FOS::JUND
FOSL1::JUND_MA1142.1	FOSL1::JUND
FOSL1::JUND(var.2)_MA1143.1	FOSL1::JUND(var.2)
FOSL2::JUND_MA1144.1	FOSL2::JUND
FOSL2::JUND(var.2)_MA1145.1	FOSL2::JUND(var.2)
NR1A4::RXRA_MA1146.1	NR1A4::RXRA
NR4A2::RXRA_MA1147.1	NR4A2::RXRA
PPARA::RXRA_MA1148.1	PPARA::RXRA
RARA::RXRG_MA1149.1	RARA::RXRG
RORB_MA1150.1	RORB
RORC_MA1151.1	RORC
SOX15_MA1152.1	SOX15
TFE3_MA0831.2	TFE3
VDR_MA0693.2	VDR
Smad4_MA1153.1	Smad4
EGR1_MA0162.3	EGR1
IRF3_MA1418.1	IRF3
IRF4_MA1419.1	IRF4
IRF5_MA1420.1	IRF5
TCF7L1_MA1421.1	TCF7L1
